项目参与人,项目名称
韩东红,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
印莹,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
毛克明,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
张恩德,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
李源,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
关博馨,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
时生乐,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
李玲,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
辛恩会,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
马连博,基于群智演化的移动机器人网络协同决策及任务调度方法研究
贾子熙,基于群智演化的移动机器人网络协同决策及任务调度方法研究
李婕,基于群智演化的移动机器人网络协同决策及任务调度方法研究
李福亮,基于群智演化的移动机器人网络协同决策及任务调度方法研究
张闯闯,基于群智演化的移动机器人网络协同决策及任务调度方法研究
何强,基于群智演化的移动机器人网络协同决策及任务调度方法研究
赵勇,基于群智演化的移动机器人网络协同决策及任务调度方法研究
杨茗周,基于群智演化的移动机器人网络协同决策及任务调度方法研究
董安葳,基于群智演化的移动机器人网络协同决策及任务调度方法研究
言勇华,面向智能制造的人机合作伺服系统自律控制研究
刘超,面向智能制造的人机合作伺服系统自律控制研究
汪辉,面向智能制造的人机合作伺服系统自律控制研究
董伟,面向智能制造的人机合作伺服系统自律控制研究
韩勇,面向智能制造的人机合作伺服系统自律控制研究
胡健,面向智能制造的人机合作伺服系统自律控制研究
杨启杰,面向智能制造的人机合作伺服系统自律控制研究
庄松林,非合作安检太赫兹快速高分辨率成像研究
方广有,非合作安检太赫兹快速高分辨率成像研究
李超,非合作安检太赫兹快速高分辨率成像研究
丁丽,非合作安检太赫兹快速高分辨率成像研究
李世超,非合作安检太赫兹快速高分辨率成像研究
陈紫微,非合作安检太赫兹快速高分辨率成像研究
卢伟,非合作安检太赫兹快速高分辨率成像研究
王喜旺,非合作安检太赫兹快速高分辨率成像研究
吴文俊,非合作安检太赫兹快速高分辨率成像研究
庄昌凌,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
阳辉,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
黄碧芳,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
李中元,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
陈龙海,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
杜文辉,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
张世鑫,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
刘娟,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
朱兆荣,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
罗艺晨,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
田兰,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
龚志成,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
郝永峰,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
杨显朝,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
宋寒,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
董伟,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
李晓鹏,施用有机物料对潮土结构演变的影响机制研究
邹晓娟,施用有机物料对潮土结构演变的影响机制研究
闫一凡,施用有机物料对潮土结构演变的影响机制研究
赵永超,施用有机物料对潮土结构演变的影响机制研究
纪景纯,施用有机物料对潮土结构演变的影响机制研究
李梅,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
付长慧,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
柯晋,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
张林林,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
楚晓,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
陆遥,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
吴琼,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
陈曾贞,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
李宗陈,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
柴修伟,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
高阳,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
姜玥,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
许奎,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
黄磊,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
史林肯,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
李秉展,基于BIM的建筑结构设计知识本体及推演方法
罗紫萍,基于BIM的建筑结构设计知识本体及推演方法
张春雷,基于BIM的建筑结构设计知识本体及推演方法
胡丰珺,基于BIM的建筑结构设计知识本体及推演方法
郑利龙,基于BIM的建筑结构设计知识本体及推演方法
王翊蘅,基于BIM的建筑结构设计知识本体及推演方法
叶波,基于BIM的建筑结构设计知识本体及推演方法
谢伟,基于BIM的建筑结构设计知识本体及推演方法
南丽霞,基于BIM的建筑结构设计知识本体及推演方法
姚晓琳,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
高志明,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
冯有楠,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
张帮恒,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
苏春霞,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
金磊,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
支德贵,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
周波,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
吴晓梅,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
马冰,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
孙皓,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
李光校,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
陈萌,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
艾聪,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
曹祝楼,肺部4D CT图像的高精度非刚性配准算法研究
唐振超,肺部4D CT图像的高精度非刚性配准算法研究
孙文燕,肺部4D CT图像的高精度非刚性配准算法研究
薛鹏,肺部4D CT图像的高精度非刚性配准算法研究
黄文高,肺部4D CT图像的高精度非刚性配准算法研究
葛全序,肺部4D CT图像的高精度非刚性配准算法研究
房伟,肺部4D CT图像的高精度非刚性配准算法研究
亓玉佩,肺部4D CT图像的高精度非刚性配准算法研究
李宇森,肺部4D CT图像的高精度非刚性配准算法研究
李金兰,硬脆性岩石强度演化特征与深埋岩体长期强度研究
路瑞利,硬脆性岩石强度演化特征与深埋岩体长期强度研究
李立风,硬脆性岩石强度演化特征与深埋岩体长期强度研究
高崎,硬脆性岩石强度演化特征与深埋岩体长期强度研究
黄海,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
陈凯,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
金歆,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
梁格豪,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
陈怡,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
罗伟,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
刘子豪,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
牟介刚,离心泵叶轮内失速涡的触发机理及动力学特性研究
吴登昊,离心泵叶轮内失速涡的触发机理及动力学特性研究
任芸,离心泵叶轮内失速涡的触发机理及动力学特性研究
吴振兴,离心泵叶轮内失速涡的触发机理及动力学特性研究
刘涛,离心泵叶轮内失速涡的触发机理及动力学特性研究
张冯烨,离心泵叶轮内失速涡的触发机理及动力学特性研究
张博论,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
李佳,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
季美华,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
崔妍妍,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
丁舒,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
张艳,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
刘溢思,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
秦彦荣,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
梁竹苑,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
魏泳涛,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
石宵爽,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
Muhammad Kashif KHAN,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
邵冰莓,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
张宏,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
陈尧,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
杨昆,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
谢少雄,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
李权,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
张海涛,基于集合降雨预报和可变模糊集的洪水预报方法研究
刘扬,基于集合降雨预报和可变模糊集的洪水预报方法研究
张艳平,基于集合降雨预报和可变模糊集的洪水预报方法研究
林鹏飞,基于集合降雨预报和可变模糊集的洪水预报方法研究
孙萍萍,基于集合降雨预报和可变模糊集的洪水预报方法研究
姚懿真,基于集合降雨预报和可变模糊集的洪水预报方法研究
刘鼎,基于集合降雨预报和可变模糊集的洪水预报方法研究
陈胜,准静态边界条件对输水系统水锤压力的影响研究
贺蔚,准静态边界条件对输水系统水锤压力的影响研究
刘甲春,准静态边界条件对输水系统水锤压力的影响研究
倪尉翔,准静态边界条件对输水系统水锤压力的影响研究
许听雨,准静态边界条件对输水系统水锤压力的影响研究
葛佩明,准静态边界条件对输水系统水锤压力的影响研究
李楠,准静态边界条件对输水系统水锤压力的影响研究
郑雪莲,准静态边界条件对输水系统水锤压力的影响研究
王才欢,梯形琴键堰泄流能力影响因素及其敏感性研究
李利,梯形琴键堰泄流能力影响因素及其敏感性研究
胡梅从,梯形琴键堰泄流能力影响因素及其敏感性研究
王建有,中国水库大坝风险后果分析模型研究
王娟,中国水库大坝风险后果分析模型研究
赵凤遥,中国水库大坝风险后果分析模型研究
葛巍,中国水库大坝风险后果分析模型研究
李巍,中国水库大坝风险后果分析模型研究
李奇,中国水库大坝风险后果分析模型研究
吴赛,中国水库大坝风险后果分析模型研究
李娟娟,中国水库大坝风险后果分析模型研究
陈浩帆,中国水库大坝风险后果分析模型研究
邹孝付,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
程江峰,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
戚庆林,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
张萌,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
罗瑞,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
唐玥,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
孟凡奇,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
张鹏元,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
隋芳媛,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
刘钡钡,稀疏设计空间压缩原理与演进式设计智能创成方法研究
张承巍,稀疏设计空间压缩原理与演进式设计智能创成方法研究
刘果,稀疏设计空间压缩原理与演进式设计智能创成方法研究
陈俊宇,稀疏设计空间压缩原理与演进式设计智能创成方法研究
郑孟蕾,稀疏设计空间压缩原理与演进式设计智能创成方法研究
黄忠山,稀疏设计空间压缩原理与演进式设计智能创成方法研究
雷美娟,稀疏设计空间压缩原理与演进式设计智能创成方法研究
李东平,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
聂如松,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
杨奇,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
郭一鹏,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
梅慧浩,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
金子豪,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
王游悬,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
吴瑕,稻田水氮耦合尺度效应及其机理
吴凤燕,稻田水氮耦合尺度效应及其机理
余明勇,稻田水氮耦合尺度效应及其机理
董苇,稻田水氮耦合尺度效应及其机理
陈绪勋,稻田水氮耦合尺度效应及其机理
王剑,稻田水氮耦合尺度效应及其机理
周宜红,高拱坝施工缆机安全运行路径实时规划与智能调控
王宇峰,高拱坝施工缆机安全运行路径实时规划与智能调控
潘志国,高拱坝施工缆机安全运行路径实时规划与智能调控
杨靖,高拱坝施工缆机安全运行路径实时规划与智能调控
董四海,高拱坝施工缆机安全运行路径实时规划与智能调控
彭湃,高拱坝施工缆机安全运行路径实时规划与智能调控
杨改强,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
李一菲,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
刘晓娜,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
吉莉,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
赵慧超,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
康丽,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
曾鹏,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
刘春英,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
黄晓晔,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
郑琼彬,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
陈雄飞,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
潘虹,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
葛新峰,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
阚阚,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
陈会向,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
刘惠文,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
付士凤,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
蒋文青,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
李东阔,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
成军,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
谭学文,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
邱洁,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
李蓉,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
彭晨,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
喻骁,水工混凝土早龄期热膨胀系数的多尺度预测模型
牛龙龙,水工混凝土早龄期热膨胀系数的多尺度预测模型
夏冰青,水工混凝土早龄期热膨胀系数的多尺度预测模型
过轶青,水工混凝土早龄期热膨胀系数的多尺度预测模型
闵弘,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
魏明尧,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
阮航,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
崔洁,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
钟山,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
李桐,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
陈谱光,新型免疫刺激剂的设计、合成及免疫评价
李高,新型免疫刺激剂的设计、合成及免疫评价
李倩倩,新型免疫刺激剂的设计、合成及免疫评价
张正宵,新型免疫刺激剂的设计、合成及免疫评价
陈怀,新型免疫刺激剂的设计、合成及免疫评价
吴军军,新型免疫刺激剂的设计、合成及免疫评价
张伯斗,新型免疫刺激剂的设计、合成及免疫评价
LIM YEH JUN,新型免疫刺激剂的设计、合成及免疫评价
霍丽娟,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
高淑琴,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
刘晓红,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
程明超,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
高雪莹,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
苏海健,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
孟波,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
尹乾,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
杜明瑞,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
张晶,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
李光雷,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
刘成林,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
祝鹏,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
袁冬阳,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
张带琴,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
皮家骏,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
王进,弱刚度工件的多机械臂协调加工方法研究
徐凡,弱刚度工件的多机械臂协调加工方法研究
王伟,弱刚度工件的多机械臂协调加工方法研究
党渊渊,弱刚度工件的多机械臂协调加工方法研究
姚杰,弱刚度工件的多机械臂协调加工方法研究
桑子涵,弱刚度工件的多机械臂协调加工方法研究
白玉龙,弱刚度工件的多机械臂协调加工方法研究
彭理仁,弱刚度工件的多机械臂协调加工方法研究
马海波,区域抗旱自适应能力形成机制与定量评估方法研究
郭家力,区域抗旱自适应能力形成机制与定量评估方法研究
韦能,区域抗旱自适应能力形成机制与定量评估方法研究
周栋,区域抗旱自适应能力形成机制与定量评估方法研究
杨正兵,面向航空发动机苛刻环境光纤传感的关键科学问题研究
陈博,面向航空发动机苛刻环境光纤传感的关键科学问题研究
贾志旭,面向航空发动机苛刻环境光纤传感的关键科学问题研究
张宗达,面向航空发动机苛刻环境光纤传感的关键科学问题研究
国旗,面向航空发动机苛刻环境光纤传感的关键科学问题研究
明昕宇,面向航空发动机苛刻环境光纤传感的关键科学问题研究
崔丁元,面向航空发动机苛刻环境光纤传感的关键科学问题研究
雷成秀,面向航空发动机苛刻环境光纤传感的关键科学问题研究
朱兴业,地下滴灌多孔出流特性及均匀度数值模型研究
张帆,地下滴灌多孔出流特性及均匀度数值模型研究
汤攀,地下滴灌多孔出流特性及均匀度数值模型研究
许正典,地下滴灌多孔出流特性及均匀度数值模型研究
肖思强,地下滴灌多孔出流特性及均匀度数值模型研究
孙丽萍,基于位置服务的地理社交网络模型构建及隐私保护方法研究
赵传信,基于位置服务的地理社交网络模型构建及隐私保护方法研究
徐致云,基于位置服务的地理社交网络模型构建及隐私保护方法研究
郑孝遥,基于位置服务的地理社交网络模型构建及隐私保护方法研究
俞庆英,基于位置服务的地理社交网络模型构建及隐私保护方法研究
胡桂银,基于位置服务的地理社交网络模型构建及隐私保护方法研究
邓劲松,基于位置服务的地理社交网络模型构建及隐私保护方法研究
邢凯,基于位置服务的地理社交网络模型构建及隐私保护方法研究
宁雪莉,基于位置服务的地理社交网络模型构建及隐私保护方法研究
